country,date,ip,cpi,unemp,rate3m,cpi_yoy,ip_yoy,epu_adjusted,epu_unadjusted,nb_articles,rec_m
DEU,1955-01-01,,20.94136,,,,,,,,
DEU,1955-02-01,,20.81088,,,,,,,,
DEU,1955-03-01,,20.81088,,,,,,,,
DEU,1955-04-01,,20.81088,,,,,,,,
DEU,1955-05-01,,20.74564,,,,,,,,
DEU,1955-06-01,,20.81088,,,,,,,,
DEU,1955-07-01,,21.07183,,,,,,,,
DEU,1955-08-01,,20.94136,,,,,,,,
DEU,1955-09-01,,20.94136,,,,,,,,
DEU,1955-10-01,,21.20231,,,,,,,,
DEU,1955-11-01,,21.26755,,,,,,,,
DEU,1955-12-01,,21.33278,,,,,,,,
DEU,1956-01-01,,21.20231,,,1.2460986296974008,,,,,
DEU,1956-02-01,,21.26755,,,2.1943810160838906,,,,,
DEU,1956-03-01,,21.59374,,,3.761782298490024,,,,,
DEU,1956-04-01,,21.59374,,,3.761782298490024,,,,,
DEU,1956-05-01,,21.5285,,,3.7736121903204634,,,,,
DEU,1956-06-01,,21.5285,,,3.4482924316511454,,,,,
DEU,1956-07-01,,21.59374,,,2.476813831546676,,,,,
DEU,1956-08-01,,21.46326,,,2.4921972593948016,,,,,
DEU,1956-09-01,,21.5285,,,2.80373385491679,,,,,
DEU,1956-10-01,,21.59374,,,1.84616676201792,,,,,
DEU,1956-11-01,,21.65897,,,1.8404564700682524,,,,,
DEU,1956-12-01,,21.72421,,,1.834875717088913,,,,,
DEU,1957-01-01,,21.78945,,,2.769226560690785,,,,,
DEU,1957-02-01,,21.78945,,,2.453973306751367,,,,,
DEU,1957-03-01,,21.65897,,,0.30207828750368204,,,,,
DEU,1957-04-01,,21.78945,,,0.9063274819461453,,,,,
DEU,1957-05-01,,21.85469,,,1.5151543303063342,,,,,
DEU,1957-06-01,,21.98516,,,2.1211881923961284,,,,,
DEU,1957-07-01,,22.18088,,,2.7190287555560078,,,,,
DEU,1957-08-01,,22.11564,,,3.039519625630027,,,,,
DEU,1957-09-01,,22.0504,,,2.4242283484682936,,,,,
DEU,1957-10-01,,22.11564,,,2.416904158334776,,,,,
DEU,1957-11-01,,22.18088,,,2.4096713740311637,,,,,
DEU,1957-12-01,,22.18088,,,2.102124772316216,,,,,
DEU,1958-01-01,23.80216,22.37659,,,2.6946067936547413,,,,,
DEU,1958-02-01,23.90221,22.44183,,,2.9940177471207363,,,,,
DEU,1958-03-01,24.29053,22.44183,,,3.614483975923144,,,,,
DEU,1958-04-01,23.52717,22.44183,,,2.9940177471207363,,,,,
DEU,1958-05-01,23.81468,22.63754,,,3.5820686543712066,,,,,
DEU,1958-06-01,24.10568,22.70278,,,3.264110882067728,,,,,
DEU,1958-07-01,23.69374,22.57231,,,1.764718081518879,,,,,
DEU,1958-08-01,24.59775,22.31135,,,0.8849393460917288,,,,,
DEU,1958-09-01,23.90009,22.18088,,,0.5917352973188628,,,,,
DEU,1958-10-01,23.89166,22.31135,,,0.8849393460917288,,,,,
DEU,1958-11-01,24.44781,22.44183,,,1.1764636930545747,,,,,
DEU,1958-12-01,24.54702,22.44183,,,1.1764636930545747,,,,,
DEU,1959-01-01,24.33066,22.44183,,,0.29155470069388567,2.2203867212051476,,,,
DEU,1959-02-01,24.39656,22.44183,,,0.0,2.068218796504584,,,,
DEU,1959-03-01,24.65619,22.44183,,,0.0,1.5053603194331133,,,,
DEU,1959-04-01,24.59815,22.44183,,,0.0,4.552098701203744,,,,
DEU,1959-05-01,25.61408,22.44183,,,-0.8645374011487239,7.555843706486942,,,,
DEU,1959-06-01,25.48321,22.63754,,,-0.2873656882549147,5.714545285592432,,,,
DEU,1959-07-01,25.11666,22.70278,,,0.5780090739494481,6.005468110986278,,,,
DEU,1959-08-01,26.60287,22.76802,,,2.0468057737429657,8.151639885761908,,,,
DEU,1959-09-01,26.22966,22.70278,,,2.352927386109127,9.747118107086639,,,,
DEU,1959-10-01,27.21662,22.76802,,,2.0468057737429657,13.916822857850807,,,,
DEU,1959-11-01,26.9539,22.96373,,,2.3255679238279647,10.250775018294078,,,,
DEU,1959-12-01,27.06555,22.96373,,,2.3255679238279647,10.260023416284337,,,,
DEU,1960-01-01,27.50897,22.96373,,4.36,2.3255679238279647,13.062983083894974,,,,
DEU,1960-02-01,27.34925,22.83326,,4.47,1.74419822269396,12.102894834353695,,,,0.0
DEU,1960-03-01,27.73731,22.83326,,4.71,1.74419822269396,12.496334591840853,,,,0.0
DEU,1960-04-01,28.36171,22.96373,,4.59,2.3255679238279647,15.300175013161542,,,,0.0
DEU,1960-05-01,28.00785,23.02897,,4.64,2.6162750542179536,9.345524024286632,,,,0.0
DEU,1960-06-01,28.1541,23.02897,,5.25,1.729118976708599,10.480979437048955,,,,0.0
DEU,1960-07-01,29.19126,23.02897,,5.58,1.4367843938055236,16.222698400185376,,,,0.0
DEU,1960-08-01,28.62957,23.02897,,5.44,1.146125135167675,7.618350952359654,,,,0.0
DEU,1960-09-01,29.12148,22.96373,,5.61,1.1494187055506089,11.02499994281283,,,,0.0
DEU,1960-10-01,29.74496,23.02897,,6.1,1.146125135167675,9.289691372404075,,,,0.0
DEU,1960-11-01,29.51247,23.09421,,5.38,0.5682003751132703,9.492392566567354,,,,1.0
DEU,1960-12-01,29.92662,23.09421,,5.06,0.5682003751132703,10.570891779402224,,,,1.0
DEU,1961-01-01,30.32841,23.28992,,4.66,1.4204573908506823,10.249165999308584,,,,1.0
DEU,1961-02-01,30.50789,23.28992,,4.13,1.9999772262042192,11.549274660182629,,,,1.0
DEU,1961-03-01,30.80043,23.28992,,3.73,1.9999772262042192,11.043320350819874,,,,1.0
DEU,1961-04-01,30.79017,23.28992,,3.34,1.4204573908506823,8.562459738852146,,,,1.0
DEU,1961-05-01,30.13836,23.48564,,3.23,1.9830239910860081,7.606831656124968,,,,1.0
DEU,1961-06-01,30.13999,23.61611,,3.13,2.5495712574205465,7.053644051843255,,,,1.0
DEU,1961-07-01,30.70228,23.61611,,3.16,2.5495712574205465,5.176275364612559,,,,1.0
DEU,1961-08-01,30.47017,23.61611,,3.09,2.5495712574205465,6.429017271303761,,,,1.0
DEU,1961-09-01,30.72169,23.61611,,3.06,2.840914781701387,5.494947372180259,,,,1.0
DEU,1961-10-01,30.48497,23.61611,,4.05,2.5495712574205465,2.4878500424946104,,,,1.0
DEU,1961-11-01,30.57376,23.74659,,3.71,2.824863894456664,3.5960731175669114,,,,1.0
DEU,1961-12-01,31.25683,23.74659,,3.83,2.824863894456664,4.444905572363345,,,,1.0
DEU,1962-01-01,32.62008,24.00754,,2.93,3.0812471661560092,7.556182470495476,,,,1.0
DEU,1962-02-01,32.55783,24.07278,,2.94,3.361368351630256,6.719376528498056,,,,1.0
DEU,1962-03-01,32.55783,24.13801,,3.02,3.6414466000742163,5.7057644974437105,,,,1.0
DEU,1962-04-01,32.05981,24.20325,,3.08,3.921567785548441,4.123523838939502,,,,1.0
DEU,1962-05-01,33.05584,24.20325,,3.08,3.055526696313149,9.680287845788582,,,,1.0
DEU,1962-06-01,33.05584,24.20325,,3.13,2.4861842191622685,9.674356229049842,,,,1.0
DEU,1962-07-01,33.1181,24.26849,,3.29,2.762436319952788,7.868536147804006,,,,1.0
DEU,1962-08-01,34.5499,24.13801,,3.26,2.209932118371749,13.389259068787606,,,,1.0
DEU,1962-09-01,33.74062,24.13801,,3.2,2.209932118371749,9.82670549699578,,,,1.0
DEU,1962-10-01,33.18035,24.20325,,4.45,2.4861842191622685,8.841668533706937,,,,1.0
DEU,1962-11-01,33.86512,24.26849,,4.33,2.1977892404762,10.765309860481654,,,,1.0
DEU,1962-12-01,32.99359,24.39897,,4.35,2.7472576062499865,5.556417589371665,,,,1.0
DEU,1963-01-01,33.1181,24.72515,,3.29,2.9891025902695656,1.5267283219415617,,,,1.0
DEU,1963-02-01,32.74458,24.92087,,3.31,3.523024760746374,0.5735947389613916,,,,1.0
DEU,1963-03-01,33.55386,24.92087,,3.53,3.2432665327423393,3.05926408486068,,,,0.0
DEU,1963-04-01,33.86512,24.98611,,3.56,3.23452428909341,5.631068930227601,,,,0.0
DEU,1963-05-01,34.11413,24.92087,,3.6,2.9649737122080744,3.2015220306003345,,,,0.0
DEU,1963-06-01,33.80287,24.79039,,3.83,2.425872558437381,2.2599032425132615,,,,0.0
DEU,1963-07-01,34.36314,24.79039,,3.98,2.150525228392852,3.7593944097034537,,,,0.0
DEU,1963-08-01,35.60818,24.72515,,3.81,2.4324291853387914,3.0630479393572774,,,,0.0
DEU,1963-09-01,34.61215,24.79039,,3.75,2.7027083011399666,2.583029001838133,,,,0.0
DEU,1963-10-01,35.17242,24.98611,,5.13,3.23452428909341,6.003764276145396,,,,0.0
DEU,1963-11-01,35.42142,25.05134,,5.0,3.2257878425892894,4.5955838928076975,,,,0.0
DEU,1963-12-01,34.36314,25.24706,,4.98,3.4759254181631505,4.150957807258937,,,,0.0
